// lang CZE
// ver 0.891
// for game ver 1.0b
// author rcx
// in progress - editor
// Codes can't start with : §, -, 0-9

//===System Errors
AssertCheck	---
CrashTip	Game Loop crashed !\n\nIt's recommended to reload your last saved game, especially if the counters keep raising.\nPossibly, send this file to contact@managames.com : {0} ; a your last saved game (go to the [>LoadGame] menu a click on the "[>ShowDataFolder]" button a the saved games will be in the "Saves" folder).
LoadCrashed	Load crashed !\n\nIt's recommended to try to load another saved game, especially if you see the broken shield icon at the top right of the screen if you try to play now.

LoopGame	Game
LoopAI		AI
LoopGUI		GUI
LoopInit	Init

//=== Enchantments
Enchantment	Provedení
EnchBear	{0} medvěda
EnchBandit	{0} bandity
EnchBeast	{0} bestie
EnchBedrock	{0} země
EnchBoulderpeak {0} vrcholu
EnchEagle	{0} orla
EnchGroundbreaker 	{0} pukající země
EnchEarthfall	{0} padající země
EnchEarthshaker {0} zemětřasa
EnchElder	{0} starších
EnchRift	{0} zlomu
EnchFeverflare	{0} pochodně //  of the Feverflare
EnchQuicksand	{0} zrádného písku
EnchFireflash	{0} jiskry
EnchJourneyMan	{0} cestáře
EnchMerchant	{0} kupce
EnchApprentice	{0} učedníka
EnchBlackSmith	{0} kováře
EnchJuggler	{0} kejklíře
EnchTempest	{0} bouře
EnchLandslide	{0} laviny
EnchMarksman	{0} střelce
EnchMonkey	{0} opice
EnchSoldier 	{0} vojáka
EnchStormgale	{0} větrníku // of the Stormgale
EnchWindstorm	{0} vichřice
EnchBarricade	{0} barikády
EnchEscape	{0} útěku
EnchOwl		{0} sovy
EnchHyena	{0} hyeny
EnchWallbreaker	{0} bořiče // of the Wallbreaker
EnchGolem	{0} golema
EnchWindmaker	{0} bouřliváka // of the Windmaker
EnchDirerock	{0} hrozby // of the Direrock
EnchAssassin	{0} vraha
EnchWizard	{0} čaroděje
EnchLightning	{0} blesku
EnchGrinder	{0} drtiče
EnchBurningHand	{0} plamene // of the Burning Hand
EnchMagician	{0} kouzelníka // of the Magician
EnchSeer	{0} jasnovidce
EnchDoom	{0} skázy
EnchLight	{0} světla
EnchFocused	{0} nezlomného
EnchSurvivor	{0} vytrvalce
EnchThunderblast	{0} hromu
EnchFox		{0} lišky
EnchSwan	{0} labutě
EnchLion	{0} lva
EnchWhale	{0} velryby
EnchDeer	{0} jelena
EnchSun		{0} slunce
EnchRebel	{0} rebela
EnchScorpion	{0} škorpióna
EnchIcefall	{0} jinovatky
EnchExpert	{0} experta
EnchJoker	{0} vtipálka
EnchMage	{0} mága
EnchCrystal	{0} krystalu
EnchWasp	{0} vosy
EnchDash	{0} odmlky // of the Dash
EnchStone	{0} kamene	//##
EnchMonolith	{0} monolitu	//##
EnchTiger	{0} tigra	//##
//Ench	{0} of the

//=== Scavenger Hunt
OblivionStone	Kámen zapomění
DescOblivionStone	Zvýší počet možných kompletních změn Stromu dovedností o 1.

NoteL01-02	Někdy bych chtěl ležet na lavici, protože pak se stane něco milého.
NoteL02-10	Výtečně ! Ale pokračujme ve hře. Dej mě do prázdné místnosti, vedle trojice v pokoji odpočívajících legend, pod svítidlo. // urny v L4
NoteL04-10	Překvapils mě ! Asi je to na Tebe příliš snadné ! Uvidíme, jak si poradíš s tímto : dej mě před hromadu kamení a já Tě dovedu na druhou stranu.\n\nPS: Doufám, že se Ti můj dárek líbí ! // L4
NoteL04-11	Ok, teď je to jisté, jsi opravdu dobrý. Tak mi ukaž, jak se popereš s tímto : najdi místo kde se sní a tam mě pod slunce dej.		// Sun = metal plate with the shape of a sun ; place of many dreams = dormitory
NoteL06-10	Přál bych si být pavoukem, pak bych se mohl schovat do malých děsivých prostor.
NoteL06-11	Očividně Tě šetřím, musím být přísnější !\n\nHala smrti. 4 strany. 1 s mřížemi pro chudáky, 2 pro boháče a malá pro Císaře. Hoď něco pod slunce, pak mnou otevřeš poslední překážku. // L7 arena
NoteL07-10	Mezi křivolakými trhlinami slunce je, hoď pod něj něco a pak najdi další slunce a tam mě polož.
NoteL08-10	V temných jeskyních, skryti v temnotách, vrátíme se na začátek všeho.	// This means the player will have to put the paper on an empty bench hidden in the dark, same as he did to start the Scavenger Hunt
NoteL09-10	Patřím Rudé plazí smrti.	// Need to put note between Red Crystal, Snake Statue & Skull Sculpture
NoteL10-10	Jsem odpad. Zahoď mě do rozbitého teleportu. Nic jiného si nezasloužím.		// Need to throw the note in a teleporter that doesn't teleport the party
NoteL12-10	Krok další v těchto jeskyních se nachází. A nebo ne. Poznáš, až to uvidíš a nebos to už viděl.	// Need to put the note on a trap door in the same level, to open it so the note will fall down to the next level & open a door there
NoteL13-10	Sám budu souzen těmi nejstaršími.	// Need to put note on an altar between statues of old mages
NoteL14-10	Všiml sis, co jsem pro Tebe nechal ? Pokud máš dobrou paměť, tak si určitě vzpomeneš, kdes viděl podobné. Až se tak stane, tak tam jdi. Polož 4 staré okolo hlavního sloupu a pak přidej nový na západ - zvenku.	// 4 old = 4 swords in the armor at start of the game ; new one = same kind of sword
NoteL08-11	Vzpomínáš, jaks našel cár papíru o kterém jsi říkal, že to je [>EmptyMap] ? Ona až tak bezcenná není - její cenu zjistíš, až ji položíš pod schody, které v žáru stojí. A co se mnou ? Mě dej mezi 2 dřevěné mřížky na naedostupném místě. // Stairs are in middle of lava
NoteL15-10	Hoď mě do klece, která končí v hlubinách.
NoteL07-11	Jsou místa, kam se nedostaneš ... zatím.
NoteL07-12	Chci být s rodinou, v temné místnosti plné svítidel.
NoteL18-10	Dej mě na místo, kde jsi něco vzal, čekal, že se něco stane, ale nic se nestane. A teprve po té se konečně potkáme.
